ID,AltName,Mstar,rh,C5,Age,FeH
NGC 104,47Tuc,6.46,7.1,0.92,12.8,-0.76
NGC 288,Melotte3,0.46,9.8,0.05,12.2,-1.32
NGC 362,Dunlop62,2.5,3.5,0.72,10,-1.26
NGC 1261,Caldwell87,3.41,5.5,0.62,10.24,-1.08
NGC 1851,Dunlop508,5.51,3.05,1.81,7.64,-1.13
NGC 1904,M79,1.45,4.1,0.50,12.0,-1.58
NGC 2298,Dunlop578,0.85,3.1,0.16,12.4,-1.98
NGC 2808,Dunlop265,12.3,3.8,3.24,11.2,-1.18
NGC 3201,Dunlop445,1.1,7.5,0.15,11.1,-1.51
NGC 4590,M68,1.07,7.7,0.14,12.7,-2.27
NGC 4833,Dunlop164,4.10,7.9,0.52,12.5,-1.71
NGC 5024,M53,8.26,11.6,0.71,12.7,-1.86
NGC 5053,NONE,1.25,22.5,0.056,12.3,-1.98
NGC 5272,M3,4.68,11.7,0.40,11.4,-1.34
NGC 5286,NONE,7.13,4.2,1.69,12.5,-1.41
NGC 5466,NONE,1.79,18.2,0.098,13.6,-2.20
NGC 5897,NONE,2.11,12.7,0.17,12.3,-1.73
NGC 5904,M5,3.89,6.6,0.59,11.5,-1.33
NGC 5927,NONE,3.38,4.2,0.81,12.7,-0.64
NGC 5986,NONE,5.99,5.04,1.19,12.2,-1.35
NGC 6093,M80,5.02,3.02,1.66,12.5,-1.47
NGC 6101,Caldwell107,1.0,8.00,0.13,12.5,-1.76
NGC 6121,M4,1.17,4.7,0.25,13.1,-1.98
NGC 6139,NONE,3.80,4.2,0.90,11.6,-1.58
NGC 6144,NONE,1.69,7.17,0.24,13.8,-1.56
NGC 6171,M107,1.17,5.5,0.21,13.4,-1.03
NGC 6205,M13,7.75,5.93,1.31,11.7,-1.33
NGC 6218,M12,0.74,4.2,0.18,13.4,-1.43
NGC 6254,M10,1.53,4.2,0.36,12.4,-1.57
NGC 6304,NONE,2.17,4.14,0.52,13.6,-0.66
NGC 6341,M92,4.89,4.19,1.17,13.2,-2.1
NGC 6352,NONE,0.37,5.68,0.065,12.7,-0.70
NGC 6362,NONE,0.81,7.70,0.11,13.6,-0.99
NGC 6366,NONE,0.30,5.05,0.058,13.3,-0.73
NGC 6388,NONE,12,2.5,4.8,11.7,-0.45
NGC 6397,NONE,1.1,3.3,0.33,13.4,-1.99
NGC 6441,NONE,9.55,3.3,2.92,11.2,-0.44
NGC 6496,NONE,2.00,5.70,0.35,12.4,-0.70
NGC 6535,NONE,0.20,2.86,0.070,10.5,-1.51
NGC 6541,NONE,5.72,3.93,1.45,12.9,-1.53
NGC 6584,NONE,3.03,4.87,0.62,11.3,-1.30
NGC 6624,NONE,2.57,3.20,0.80,12.5,-0.70
NGC 6637,M69,2.00,3.66,0.55,13.1,-0.78
NGC 6652,NONE,1.09,2.37,0.46,12.0,-0.97
NGC 6656,M22,6.44,5.32,1.21,12.7,-1.49
NGC 6681,M70,1.79,3.16,0.57,12.8,-1.35
NGC 6715,M54,12.9,10.7,1.20,10.8,-1.25
NGC 6717,NONE,0.48,2.39,0.20,13.2,-1.09
NGC 6723,NONE,3.57,6.58,0.54,13.1,-0.96
NGC 6752,NONE,2.82,3.8,0.75,13.8,-1.55
NGC 6779,M56,2.30,5.11,0.45,13.7,-2.00
NGC 6809,M55,0.55,7.6,0.07,13.8,-1.93
NGC 6838,M71,0.20,3.3,0.06,12.7,-0.82
NGC 6934,NONE,2.95,5.32,0.55,11.1,-1.32
NGC 6981,M72,1.68,7.82,0.21,10.9,-1.21
NGC 7078,M15,5.13,5.1,1.00,13.6,-2.33
NGC 7089,M2,5.75,6.03,0.95,11.8,-1.31
NGC 7099,M30,1.45,4.1,0.35,14.6,-2.33
Ruprecht106,NONE,0.68,11,0.06,12,-1.5
Terzan7,NONE,0.39,8.7,0.04,7.4,-0.12
Palomar12,NONE,0.28,16,0.024,8.6,-0.81
