ID,AltName,Mstar,rh,C5,Age_x,FeH_x,Name_x,FeH_y,Age_y,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0,Name_y,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th
NGC 104,47Tuc,6.46,7.1,0.92,12.8,-0.76,47Tuc,-0.76,11.75,0.25,V,14,11.50–11.75,-0.99,7.4,-9.42,54.8,5.061,47 Tuc,00:24:05.67,-72:04:52.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1,-18.0,0.1,-26.7,11.0,0.3,2.07,0.36,3.17,14.38,4.88,7.84,9.55
NGC 1261,Caldwell87,3.41,5.5,0.62,10.24,-1.08,XXXX,-1.27,10.75,0.25,V,13,10.75–11.25,-0.71,18.1,-7.8,23.6,3.913,,03:12:16.21,-55:12:58.4,270.54,-52.12,16.3,18.1,0.1,-10.0,-12.9,68.2,4.6,54.9,,,1.16,0.35,0.68,17.73,2.99,8.59,9.12
NGC 1851,Dunlop508,5.51,3.05,1.81,7.64,-1.13,XXXX,-1.18,11.0,0.25,V,13,10.75–11.25,-0.32,16.6,-8.33,47.6,5.136,,05:14:06.76,-40:02:47.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9,320.5,0.6,303.8,10.4,0.5,1.86,0.09,0.51,14.25,5.09,7.43,8.82
NGC 1904,M79,1.45,4.1,0.5,12.0,-1.58,,,,,,,,,,,,,M 79,05:24:11.09,-24:31:29.0,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3,205.8,0.4,189.0,5.3,0.4,1.7,0.16,0.65,16.02,4.08,7.83,8.95
NGC 2298,Dunlop578,0.85,3.1,0.16,12.4,-1.98,,,,,,,,,,,,,,06:48:59.41,-36:00:19.1,245.63,-16.0,10.8,15.8,-4.3,-9.4,-3.0,148.9,1.2,132.0,,,1.38,0.31,0.98,18.9,2.9,7.91,8.84
NGC 2808,Dunlop265,12.3,3.8,3.24,11.2,-1.18,XXXX,-1.18,11.0,0.38,V,13,11.00–11.25,-0.49,11.1,-9.39,62.4,5.07,,09:12:03.10,-64:51:48.6,282.19,-11.25,9.6,11.1,2.0,-9.2,-1.9,101.6,0.7,89.2,13.4,1.2,1.56,0.25,0.8,15.08,4.66,8.24,9.15
NGC 288,Melotte3,0.46,9.8,0.05,12.2,-1.32,XXXX,-1.32,11.5,0.38,H,24,,0.98,12.0,-6.75,10.9,2.953,,00:52:45.24,-26:34:57.4,152.3,-89.38,8.9,12.0,-0.1,0.0,-8.9,-45.4,0.2,-51.9,2.9,0.3,0.99,1.35,2.23,20.05,1.78,8.99,9.32
NGC 3201,Dunlop445,1.1,7.5,0.15,11.1,-1.51,XXXX,-1.51,11.5,0.38,A,12-30,11.25–11.75,0.08,8.8,-7.45,17.9,3.599,,10:17:36.82,-46:24:44.9,277.23,8.64,4.9,8.8,0.6,-4.8,0.7,494.0,0.2,482.9,5.0,0.2,1.29,1.3,3.1,19.0,2.71,8.61,9.27
NGC 362,Dunlop62,2.5,3.5,0.72,10.0,-1.26,XXXX,-1.3,10.75,0.25,V,13,10.75–11.00,-0.87,9.4,-8.43,44.4,4.938,,01:03:14.26,-70:50:55.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2,223.5,0.5,214.0,6.4,0.3,1.76,0.18,0.82,14.8,4.74,7.76,8.93
NGC 4147,,,,,,,XXXX,-1.78,12.25,0.25,V,11,12.25–12.50,0.66,21.4,-6.17,14.2,3.886,,12:10:06.30,+18:32:33.5,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8,183.2,0.7,186.1,2.6,0.7,1.83,0.09,0.48,17.38,3.63,7.41,8.74
NGC 4590,M68,1.07,7.7,0.14,12.7,-2.27,M68,-2.27,12.0,0.25,V,11,12.00,0.17,10.2,-7.37,16.9,3.559,M 68,12:39:27.98,-26:44:38.6,299.63,36.05,10.3,10.2,4.1,-7.2,6.0,-94.7,0.2,-96.8,2.5,0.4,1.41,0.58,1.51,18.81,2.57,8.45,9.27
NGC 4833,Dunlop164,4.1,7.9,0.52,12.5,-1.71,XXXX,-1.89,12.5,0.5,A,30,,0.93,7.0,-8.17,25.0,3.885,,12:59:33.92,-70:52:35.4,303.6,-8.02,6.6,7.0,3.6,-5.4,-0.9,200.2,1.2,192.9,,,1.25,1.0,2.41,18.48,3.0,8.78,9.42
NGC 5024,M53,8.26,11.6,0.71,12.7,-1.86,M53,-2.06,12.25,0.25,V,12,12.25–12.50,0.81,18.4,-8.71,25.8,3.866,M 53,13:12:55.25,+18:10:05.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6,-62.9,0.3,-56.2,4.4,0.9,1.72,0.35,1.31,17.38,3.07,8.73,9.76
NGC 5053,NONE,1.25,22.5,0.056,12.3,-1.98,XXXX,-2.3,12.25,0.38,A,12,12.25–12.50,0.52,17.8,-6.76,7.2,2.196,,13:16:27.09,+17:42:00.9,335.7,78.95,17.4,17.8,3.0,-1.4,17.1,44.0,0.4,50.9,1.4,0.2,0.74,2.08,2.61,22.03,0.54,9.81,9.87
NGC 5272,M3,4.68,11.7,0.4,11.4,-1.34,M3,-1.5,11.75,0.25,V,22,,0.08,12.0,-8.88,32.1,4.254,M 3,13:42:11.62,+28:22:38.2,42.22,78.71,10.2,12.0,1.5,1.3,10.0,-147.6,0.2,-138.3,5.5,0.3,1.89,0.37,2.31,16.64,3.57,8.31,9.79
NGC 5286,NONE,7.13,4.2,1.69,12.5,-1.41,XXXX,-1.7,12.5,0.38,A,12-30,11.75–12.25,0.8,8.9,-8.74,42.7,4.628,,13:46:26.81,-51:22:27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1,57.4,1.5,54.3,8.1,1.0,1.41,0.28,0.73,16.22,4.1,8.4,9.11
NGC 5466,NONE,1.79,18.2,0.098,13.6,-2.2,XXXX,-2.31,12.5,0.25,V,11-30,12.25–12.50,0.58,16.3,-6.98,8.6,2.453,,14:05:27.29,+28:32:04.0,42.15,73.59,16.0,16.3,3.3,3.0,15.3,110.7,0.2,121.2,1.7,0.2,1.04,1.43,2.3,21.61,0.84,9.35,9.76
NGC 5897,NONE,2.11,12.7,0.17,12.3,-1.73,,,,,,,,,,,,,,15:17:24.50,-21:00:37.0,342.95,30.29,12.5,7.4,10.3,-3.2,6.3,101.5,1.0,108.4,,,0.86,1.4,2.06,20.53,1.53,9.33,9.57
NGC 5904,M5,3.89,6.6,0.59,11.5,-1.33,M5,-1.33,11.5,0.25,V,8,11.50–11.75,0.31,6.2,-8.81,37.0,4.457,M 5,15:18:33.22,+02:04:51.7,3.86,46.8,7.5,6.2,5.1,0.3,5.5,53.2,0.4,64.3,5.5,0.4,1.73,0.44,1.77,16.09,3.88,8.28,9.41
NGC 5927,NONE,3.38,4.2,0.81,12.7,-0.64,XXXX,-0.29,10.75,0.38,V,16,10.50–10.75,-1.0,4.6,-7.81,25.4,4.156,,15:28:00.69,-50:40:22.9,326.6,4.86,7.7,4.6,6.4,-4.2,0.7,-107.5,0.9,-107.2,,,1.6,0.42,1.1,16.91,4.09,8.39,8.94
NGC 5986,NONE,5.99,5.04,1.19,12.2,-1.35,XXXX,-1.63,12.25,0.75,A,30,,0.97,4.8,-8.44,33.1,4.259,,15:46:03.00,-37:47:11.1,337.02,13.27,10.4,4.8,9.3,-4.0,2.4,88.9,3.7,92.9,,,1.23,0.47,0.98,17.67,3.41,8.58,9.18
NGC 6093,M80,5.02,3.02,1.66,12.5,-1.47,,,,,,,,,,,,,M 80,16:17:02.41,-22:58:33.9,352.67,19.46,10.0,3.8,9.4,-1.2,3.3,8.1,1.5,16.7,12.4,0.6,1.68,0.15,0.61,15.11,4.79,7.78,8.8
NGC 6101,Caldwell107,1.0,8.0,0.13,12.5,-1.76,XXXX,-1.98,12.25,0.5,H,30,,0.84,11.2,-6.94,11.8,2.98,,16:25:48.12,-72:12:07.9,317.74,-15.82,15.4,11.2,11.0,-10.0,-4.2,361.4,1.7,357.0,,,0.8,0.97,1.05,20.29,1.65,9.21,9.22
NGC 6121,M4,1.17,4.7,0.25,13.1,-1.98,M4,-1.18,11.5,0.38,V,13,11.25–11.50,-0.06,5.9,-7.19,20.8,4.07,M 4,16:23:35.22,-26:31:32.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6,70.7,0.2,78.6,4.0,0.2,1.65,1.16,4.33,17.95,3.64,7.9,8.93
NGC 6139,NONE,3.8,4.2,0.9,11.6,-1.58,,,,,,,,,,,,,,16:27:40.37,-38:50:55.5,342.37,6.94,10.1,3.6,9.6,-3.0,1.2,6.7,6.0,11.5,,,1.86,0.15,0.85,17.2,4.67,7.66,9.05
NGC 6144,NONE,1.69,7.17,0.24,13.8,-1.56,XXXX,-1.82,12.75,0.5,H,30,,1.0,2.7,-6.85,10.4,2.975,,16:27:13.86,-26:01:24.6,351.93,15.7,8.9,2.7,8.5,-1.2,2.4,193.8,0.6,201.9,,,1.55,0.94,1.63,20.05,2.31,8.78,9.14
NGC 6171,M107,1.17,5.5,0.21,13.4,-1.03,M107,-1.03,12.0,0.75,V,13,,-0.73,3.3,-7.12,18.2,3.832,M 107,16:32:31.86,-13:03:13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5,-34.1,0.3,-23.0,4.1,0.3,1.53,0.56,1.73,18.94,3.08,8.06,9.0
NGC 6205,M13,7.75,5.93,1.31,11.7,-1.33,M13,-1.58,12.0,0.38,A,20-22,,0.97,8.4,-8.56,31.7,4.219,M 13,16:41:41.24,+36:27:35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7,-244.2,0.2,-228.0,7.1,0.4,1.53,0.62,1.69,16.59,3.55,8.51,9.3
NGC 6218,M12,0.74,4.2,0.18,13.4,-1.43,M12,-1.33,13.0,0.5,A,24-26,,0.98,4.5,-7.31,21.2,3.961,M 12,16:47:14.18,-01:56:54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1,-41.4,0.2,-27.9,4.5,0.4,1.34,0.79,1.77,18.1,3.23,8.19,8.87
NGC 6254,M10,1.53,4.2,0.36,12.4,-1.57,M10,-1.57,11.75,0.38,H,30,,0.98,4.6,-7.48,23.9,4.112,M 10,16:57:09.05,-04:06:01.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7,75.2,0.7,88.5,6.6,0.8,1.38,0.77,1.95,17.7,3.54,8.21,8.9
NGC 6304,NONE,2.17,4.14,0.52,13.6,-0.66,XXXX,-0.37,11.25,0.38,V,16,11.00–11.25,-1.0,2.3,-7.3,28.8,4.656,,17:14:32.25,-29:27:43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6,-107.3,3.6,-99.3,,,1.8,0.21,1.42,17.2,4.49,7.36,8.85
